MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
 The Big Show Show,-2020,"
Comedy            ",6.9,"
JJ struggles to recognize that she's smart; Mandy runs for president; the Big Show fights his fear of mascots; Cassy bonds with Lola -- maybe too much.","
    Director:
Bob Koherr
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",113,27,
 The Big Show Show,-2020,"
Comedy            ",7,"
The Big Show and Lola compete in the kitchen; Cassy embroiders the truth at an open house; Mandy learns that not all politicians play dirty.","
    Director:
Phill Lewis
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",108,26,
 The Big Show Show,-2020,"
Comedy            ",7.6,"
While Cassy struggles to adjust to life with no job, Lola seeks to keep her father from spending too much time with her new boyfriend.","
    Director:
Bob Koherr
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",104,26,
 The Big Show Show,-2020,"
Comedy            ",7.4,"
While the Big Show takes Cassy on a wrestling cruise for their anniversary, Lola, Mandy and JJ throw a wild house party in their absence.","
    Director:
Kelly Park
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",106,25,
 The Big Show Show,-2020,"
Comedy            ",7.6,"
Lola's best friend from Minnesota comes for a visit; Mandy and Taylor engage in a debate in front of the school; the Big Show gets back in the ring.","
    Director:
Leonard R. Garner Jr.
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",95,26,
 The Big Show Show,-2020,"
Comedy            ",8,"
Mandy and JJ hide a dog from their parents; Lola practices for her driving test; Cassy hires an assistant; the Big Show wrestles with a decision.","
    Director:
Eric Dean Seaton
| 
    Stars:
Paul Wight, 
Allison Munn, 
Reylynn Caster, 
Lily Brooks O'Briant
",101,28,
Le dernier mercenaire,-2021,"
Action, Comedy            ",5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","
    Director:
David Charhon
| 
    Stars:
Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla
",2606,110,
Resort to Love,-2021,"
Comedy, Romance            ",5.7,"
Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","
    Director:
Steven K. Tsuchida
| 
    Stars:
Christina Milian, 
Tymberlee Hill, 
Kayne Lee Harrison, 
Ruth Nadler-Nir
",1591,101,
Evil,(2019– ),"
Crime, Drama, Horror            ",7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","
            
    Stars:
Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco
",15048,42,
The Expanse,(2015– ),"
Drama, Mystery, Sci-Fi            ",8.5,"
In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","
            
    Stars:
Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo
",119644,60,
New Amsterdam,(2018– ),"
Drama            ",8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.","
            
    Stars:
Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims
",27709,43,
Line of Duty,(2012– ),"
Crime, Drama, Mystery            ",8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","
            
    Stars:
Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson
",46751,60,
The 100,(2014–2020),"
Drama, Mystery, Sci-Fi            ",7.6,"
Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","
            
    Stars:
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington
",226962,43,
New Girl,(2011–2018),"
Comedy            ",7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","
            
    Stars:
Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
",200421,22,
Prison Break,(2005–2017),"
Action, Crime, Drama            ",8.3,"
Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","
            
    Stars:
Dominic Purcell, 
Wentworth Miller, 
Amaury Nolasco, 
Robert Knepper
",492438,44,
Sex Education,(2019– ),"
Comedy, Drama            ",8.3,"
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.","
            
    Stars:
Asa Butterfield, 
Gillian Anderson, 
Ncuti Gatwa, 
Emma Mackey
",177274,45,
A Classic Horror Story,-2021,"
Drama, Horror, Mystery            ",5.7,"
In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","
    Directors:
Roberto De Feo, 
Paolo Strippoli
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
",8822,95,
Feels Like Ishq,(2021– ),"
Comedy, Drama, Romance            ",6.6,"
Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.","
            
    Stars:
Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",848,32,
Young Royals,(2021– ),"
Drama, Romance            ",8.6,"
Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","
            
    Stars:
Edvin Ryding, 
Omar Rudberg, 
Frida Argento, 
Samuel Astor
",16954,50,
Shadow and Bone,(2021– ),"
Action, Adventure, Drama            ",7.7,"
Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.","
            
    Stars:
Jessie Mei Li, 
Ben Barnes, 
Archie Renaux, 
Freddy Carter
",60283,,
The Hitman's Bodyguard,-2017,"
Action, Comedy, Crime            ",6.9,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
",205979,118,$75.47M
Mad Men,(2007–2015),"
Drama            ",8.6,"
A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","
            
    Stars:
Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
",216203,47,
Élite,(2018– ),"
Crime, Drama, Thriller            ",7.5,"
When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","
            
    Stars:
Itzan Escamilla, 
Omar Ayuso, 
Miguel Bernardeau, 
Arón Piper
",59730,60,
Gilmore Girls,(2000–2007),"
Comedy, Drama            ",8.1,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","
            
    Stars:
Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
",106650,44,
Sky Rojo,(2021– ),"
Action, Adventure, Crime            ",6.5,"
Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.","
            
    Stars:
Verónica Sánchez, 
Miguel Ángel Silvestre, 
Asier Etxeandia, 
Lali Espósito
",6940,31,
Lupin,(2021– ),"
Action, Crime, Drama            ",7.5,"
Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","
            
    Stars:
Omar Sy, 
Ludivine Sagnier, 
Hervé Pierre, 
Soufiane Guerrab
",84428,45,
Trollhunters: Rise of the Titans,-2021,"
Animation, Action, Adventure            ",6.9,"
The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.","
    Directors:
Johane Matte, 
Francisco Ruiz-Velasco, 
Andrew L. Schmidt
| 
    Stars:
Steve Alterman, 
Kay Bess, 
Brian Blessed, 
Vic Chao
",2353,104,
Heartland,(II) (2007– ),"
Drama, Family            ",8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","
            
    Stars:
Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
",11764,45,
Jurassic Park,-1993,"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",897444,127,$402.45M
Family Guy,(1999–2022),"
Animation, Comedy            ",8.1,"
In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","
            
    Stars:
Seth MacFarlane, 
Alex Borstein, 
Seth Green, 
Mila Kunis
",312584,22,
Daredevil,(2015–2018),"
Action, Crime, Drama            ",8.6,"
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","
            
    Stars:
Charlie Cox, 
Vincent D'Onofrio, 
Deborah Ann Woll, 
Elden Henson
",374963,54,
Dark,(2017–2020),"
Crime, Drama, Mystery            ",8.8,"
A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","
            
    Stars:
Louis Hofmann, 
Karoline Eichhorn, 
Lisa Vicari, 
Maja Schöne
",312629,60,
Boku no hîrô akademia,(2016– ),"
Animation, Action, Adventure            ",8.4,"
A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.","
            
    Stars:
Daiki Yamashita, 
Nobuhiko Okamoto, 
Ayane Sakura, 
Justin Briner
",44367,24,
Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",8.6,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","
            
    Stars:
Courtney Henggeler, 
Mary Mouser, 
Tanner Buchanan, 
Ralph Macchio
",122268,30,
 Kingdom,(2019– ),"
Action, Drama, History            ",7.1,"
Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""","
    Director:
Seong-hun Kim
| 
    Stars:
Jun Ji-hyun, 
Si-ah Kim, 
Byeong-eun Park, 
Kyo-hwan Koo
",6388,92,
Gotham,(2014–2019),"
Action, Crime, Drama            ",7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.","
            
    Stars:
Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova
",216458,42,
Billions,(2016– ),"
Drama            ",8.4,"
U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","
            
    Stars:
Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile
",74094,60,
Agents of S.H.I.E.L.D.,(2013–2020),"
Action, Adventure, Drama            ",7.5,"
The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","
            
    Stars:
Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker
",205119,45,
Don't Breathe,-2016,"
Crime, Horror, Thriller            ",7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
",237601,88,$89.22M
The Ice Road,-2021,"
Action, Adventure, Drama            ",5.6,"
After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","
    Director:
Jonathan Hensleigh
| 
    Stars:
Liam Neeson, 
Marcus Thomas, 
Laurence Fishburne, 
Amber Midthunder
",20561,109,
Arrow,(2012–2020),"
Action, Adventure, Crime            ",7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","
            
    Stars:
Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson
",414712,42,
Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",8,"
Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","
            
    Stars:
Taylor Schilling, 
Danielle Brooks, 
Taryn Manning, 
Emma Myles
",284554,59,
Gossip Girl,(2007–2012),"
Drama, Romance            ",7.4,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.","
            
    Stars:
Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick
",159666,42,
Bridgerton,(2020– ),"
Drama, Romance            ",7.3,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","
            
    Stars:
Phoebe Dynevor, 
Regé-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey
",83944,60,
The Kominsky Method,(2018–2021),"
Comedy, Drama            ",8.2,"
An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","
            
    Stars:
Michael Douglas, 
Sarah Baker, 
Graham Rogers, 
Melissa Tang
",33440,30,
Homeland,(2011–2020),"
Crime, Drama, Mystery            ",8.3,"
A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.","
            
    Stars:
Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend
",322307,55,
